"Player,Pos,Dist.,3P"
"James Harden\hardeja01,PG-SG,14.6,.459"
"Maurice Harkless\harklma01,SF,21.1,.857"
"Jared Harper\harpeja01,PG,6.0,.000"
"Montrezl Harrell\harremo01,C,4.9,.020"
"Gary Harris\harriga01,SG,14.4,.481"
"Jalen Harris\harrija01,SG,13.3,.500"
"Joe Harris\harrijo01,SF,19.3,.662"
"Tobias Harris\harrito02,PF,12.2,.240"
"Shaquille Harrison\harrish01,SG,7.6,.100"
"Josh Hart\hartjo01,SF,15.9,.560"
"Isaiah Hartenstein\harteis01,C,3.1,.000"
"Jaxson Hayes\hayesja02,C,2.5,.000"
"Killian Hayes\hayeski01,PG,15.1,.426"
"Gordon Hayward\haywago01,SF,13.6,.316"
"Juan Hernangómez\hernaju01,PF,14.6,.546"
"Willy Hernangómez\hernawi01,C,3.8,.056"
"Tyler Herro\herroty01,SG,16.3,.413"
"Buddy Hield\hieldbu01,SG,21.3,.730"
"George Hill\hillge01,PG,15.3,.475"
"Solomon Hill\hillso01,PF,20.2,.757"
"Nate Hinton\hintona01,SG,18.6,.353"
"Aaron Holiday\holidaa01,PG,14.4,.426"
"Jrue Holiday\holidjr01,PG,13.1,.361"
"Justin Holiday\holidju01,SG,19.8,.732"
"Richaun Holmes\holmeri01,C,7.0,.020"
"Rodney Hood\hoodro01,SF,16.8,.427"
"Al Horford\horfoal01,C,15.2,.422"
"Talen Horton-Tucker\hortota01,SG,10.1,.272"
"Danuel House\houseda01,SF,16.3,.561"
"Dwight Howard\howardw01,C,4.8,.070"
"Markus Howard\howarma02,SG,20.7,.707"
"Kevin Huerter\huertke01,SG,17.8,.548"
"Elijah Hughes\hugheel01,SF,21.0,.706"
"De'Andre Hunter\huntede01,SF,14.8,.390"
"Chandler Hutchison\hutchch01,SF,7.8,.167"
"Serge Ibaka\ibakase01,C,12.8,.311"
"Andre Iguodala\iguodan01,SF,20.3,.759"
"Ersan _lyasova\ilyaser01,F,24.0,1.000"
"Joe Ingles\inglejo01,SF,19.5,.714"
"Brandon Ingram\ingrabr01,SF,15.7,.347"
"Kyrie Irving\irvinky01,PG,14.7,.341"
"Wesley Iwundu\iwundwe01,SF,12.7,.442"
"Frank Jackson\jacksfr01,PG,17.2,.535"
"Josh Jackson\jacksjo02,SG,12.9,.369"
"Justin Jackson\jacksju01,SF,16.6,.522"
"Reggie Jackson\jacksre01,SG,16.1,.468"
"Justin James\jamesju01,SF,13.8,.400"
"LeBron James\jamesle01,PG,14.0,.352"
"DaQuan Jeffries\jeffrda01,SG,14.6,.491"
"Ty Jerome\jeromty01,SG,19.5,.623"
"Isaiah Joe\joeis01,SG,22.9,.767"
"Alize Johnson\johnsal02,F,7.7,.067"
"Cameron Johnson\johnsca02,PF,19.1,.682"
"James Johnson\johnsja01,PF,12.6,.414"
"Keldon Johnson\johnske04,SF,9.5,.254"
"Stanley Johnson\johnsst04,PF,18.1,.660"
"Tyler Johnson\johnsty01,SG,20.6,.691"
"Nikola Joki_\jokicni01,C,11.0,.194"
"Damian Jones\jonesda03,C,5.5,.030"
"Derrick Jones Jr.\jonesde02,SF,12.0,.449"
"Mason Jones\jonesma05,SG,18.3,.561"
"Tre Jones\jonestr01,PG,6.3,.033"
"Tyus Jones\jonesty01,PG,14.1,.332"
"DeAndre Jordan\jordade01,C,1.7,.005"
"Cory Joseph\josepco01,PG,14.0,.364"
"Mfiondu Kabengele\kabenmf01,PF,17.0,.563"
"Frank Kaminsky\kaminfr01,C,12.6,.368"
"Enes Kanter\kanteen01,C,2.8,.003"
"Luke Kennard\kennalu01,SG,18.3,.544"
"Maxi Kleber\klebima01,PF,20.9,.763"
"Nathan Knight\knighna01,PF,9.3,.326"
"Kevin Knox\knoxke01,SF,18.0,.615"
"John Konchar\konchjo01,SG,11.7,.352"
"Furkan Korkmaz\korkmfu01,SG,19.2,.612"
"Luke Kornet\kornelu01,PF,21.4,.813"
"Rodions Kurucs\kurucro01,SF-PF,18.8,.708"
"Kyle Kuzma\kuzmaky01,SF,15.6,.498"
"Anthony Lamb\lamban01,SF,15.8,.576"
"Jeremy Lamb\lambje01,SG,16.7,.476"
"Zach LaVine\lavinza01,SG,14.6,.417"
"Jake Layman\laymaja01,SF,12.7,.425"
"Jalen Lecque\lecquja01,PG,10.0,.111"
"Damion Lee\leeda03,SG,21.0,.735"
"Saben Lee\leesa01,PG,6.4,.093"
"Alex Len\lenal01,C,6.7,.151"
"Kawhi Leonard\leonaka01,SF,14.1,.276"
"Meyers Leonard\leoname01,C,27.3,1.000"
"Caris LeVert\leverca01,SG,14.1,.353"
"Kira Lewis Jr.\lewiski01,PG,12.3,.351"
"Damian Lillard\lillada01,PG,18.1,.540"
"Nassir Little\littlna01,PF,16.7,.542"
"Kevon Looney\looneke01,C,5.6,.094"
"Brook Lopez\lopezbr01,C,15.3,.495"
"Robin Lopez\lopezro01,C,5.2,.061"
"Kevin Love\loveke01,PF,17.5,.545"
"Kyle Lowry\lowryky01,PG,18.1,.535"
"Timothé Luwawu-Cabarrot\luwawti01,SF,17.8,.656"
"Trey Lyles\lylestr01,PF,14.5,.444"
"Will Magnay\magnawi01,C,27.0,1.000"
"Thon Maker\makerth01,C,7.1,.111"
"Théo Maledon\maledth01,PG,17.7,.565"
"Karim Mané\maneka01,PG,7.7,.167"
"Terance Mann\mannte01,SG,10.1,.253"
"Nico Mannion\mannini01,PG,18.9,.556"
"Boban Marjanovi_\marjabo01,C,5.6,.045"
"Lauri Markkanen\markkla01,PF,15.5,.543"
"Naji Marshall\marshna01,SF,13.2,.333"
"Caleb Martin\martica02,SF,15.1,.434"
"Cody Martin\martico01,SF,10.9,.306"
"Kelan Martin\martike03,SF,14.5,.429"
"Kenyon Martin Jr.\martike04,SF,7.9,.227"
"Frank Mason III\masonfr01,PG,8.1,.208"
"Garrison Mathews\mathega01,SG,22.7,.801"
"Dakota Mathias\mathida01,SG,21.0,.542"
"Wesley Matthews\matthwe02,SG,21.3,.782"
"Tyrese Maxey\maxeyty01,SG,12.7,.222"
"Skylar Mays\mayssk01,SG,14.2,.458"
"Patrick McCaw\mccawpa01,SF,1.0,.000"
"CJ McCollum\mccolcj01,SG,18.3,.528"
"T.J. McConnell\mccontj01,PG,7.6,.091"
"Jaden McDaniels\mcdanja02,PF,15.7,.522"
"Jalen McDaniels\mcdanja01,SF,12.1,.373"
"Doug McDermott\mcderdo01,PF,13.0,.445"
"Sean McDermott\mcderse01,SF,17.4,.643"
"JaVale McGee\mcgeeja01,C,6.7,.093"
"Rodney McGruder\mcgruro01,SG,12.1,.343"
"Alfonzo McKinnie\mckinal01,SF,14.6,.467"
"Jordan McLaughlin\mclaujo01,PG,11.4,.329"
"Ben McLemore\mclembe01,SG,20.7,.736"
"Nicolò Melli\mellini01,PF,18.9,.627"
"De'Anthony Melton\meltode01,PG,16.0,.489"
"Sam Merrill\merrisa01,SG,20.6,.667"
"Chimezie Metu\metuch01,C,8.9,.136"
"Khris Middleton\middlkh01,SF,15.6,.337"
"Darius Miller\milleda01,SF,25.4,.871"
"Patty Mills\millspa02,PG,20.1,.677"
"Paul Millsap\millspa01,PF,12.7,.394"
"Shake Milton\miltosh01,SG,13.6,.286"
"Donovan Mitchell\mitchdo01,SG,16.0,.427"
"Adam Mokoka\mokokad01,SG,13.7,.533"
"Malik Monk\monkma01,SG,16.3,.514"
"E'Twaun Moore\mooreet01,SG,12.6,.284"
"Ja Morant\moranja01,PG,10.3,.223"
"Juwan Morgan\morgaju01,PF,17.0,.647"
"Marcus Morris\morrima03,PF,18.6,.525"
"Markieff Morris\morrima02,PF,18.0,.587"
"Monte Morris\morrimo01,PG,14.2,.373"
"Mychal Mulder\muldemy01,PG,21.8,.862"
"Dejounte Murray\murrade01,PG,12.4,.208"
"Jamal Murray\murraja01,PG,16.8,.397"
"Mike Muscala\muscami01,C,19.9,.689"
"Sviatoslav Mykhailiuk\mykhasv01,SF,20.3,.746"
"Abdel Nader\naderab01,SF,11.7,.371"
"Larry Nance Jr.\nancela02,PF,13.1,.403"
"Aaron Nesmith\nesmiaa01,SF,20.1,.741"
"Raul Neto\netora01,PG,14.3,.377"
"Georges Niang\niangge01,PF,19.8,.710"
"Zeke Nnaji\nnajize01,PF,15.8,.561"
"Nerlens Noel\noelne01,C,3.5,.014"
"Jaylen Nowell\nowelja01,SG,15.8,.446"
"Frank Ntilikina\ntilila01,PG,20.0,.578"
"Kendrick Nunn\nunnke01,PG,15.9,.478"
"Jusuf Nurki_\nurkiju01,C,7.0,.138"
"David Nwaba\nwabada01,SF,9.2,.289"
"Jordan Nwora\nworajo01,SF,15.8,.410"
"Royce O'Neale\onealro01,SF,19.3,.724"
"Semi Ojeleye\ojelese01,PF,19.9,.718"
"Jahlil Okafor\okafoja01,C,5.3,.071"
"Chuma Okeke\okekech01,PF,18.3,.523"
"Josh Okogie\okogijo01,SG,12.4,.420"
"Onyeka Okongwu\okongon01,C,5.6,.022"
"Isaac Okoro\okorois01,SG,11.5,.393"
"KZ Okpala\okpalkz01,PF,15.5,.561"
"Victor Oladipo\oladivi01,SG,15.1,.417"
"Kelly Olynyk\olynyke01,C,18.2,.648"
"Miye Oni\onimi01,SG,21.2,.868"
"Cedi Osman\osmande01,SF,16.7,.572"
