"Player,Pos,3P,3PA"
"Rodney McGruder\mcgruro01,SG,0.7,1.5"
"Alfonzo McKinnie\mckinal01,SF,0.3,0.8"
"Jordan McLaughlin\mclaujo01,PG,0.6,1.8"
"Ben McLemore\mclembe01,SG,1.7,5.2"
"Nicolò Melli\mellini01,PF,0.3,1.7"
"De'Anthony Melton\meltode01,PG,1.6,3.7"
"Sam Merrill\merrisa01,SG,0.7,1.5"
"Chimezie Metu\metuch01,C,0.1,0.4"
"Khris Middleton\middlkh01,SF,2.3,5.2"
"Darius Miller\milleda01,SF,0.8,1.9"
"Patty Mills\millspa02,PG,2.7,6.9"
"Paul Millsap\millspa01,PF,1.1,2.8"
"Shake Milton\miltosh01,SG,1.0,3.2"
"Donovan Mitchell\mitchdo01,SG,3.4,8.6"
"Adam Mokoka\mokokad01,SG,0.1,0.9"
"Malik Monk\monkma01,SG,2.2,5.2"
"E'Twaun Moore\mooreet01,SG,0.3,1.2"
"Ja Morant\moranja01,PG,0.8,3.5"
"Juwan Morgan\morgaju01,PF,0.2,0.6"
"Marcus Morris\morrima03,PF,2.4,5.2"
"Markieff Morris\morrima02,PF,1.1,3.2"
"Monte Morris\morrimo01,PG,1.1,3.2"
"Mychal Mulder\muldemy01,PG,1.1,2.6"
"Dejounte Murray\murrade01,PG,0.9,3.0"
"Jamal Murray\murraja01,PG,2.7,6.5"
"Mike Muscala\muscami01,C,1.9,5.3"
"Sviatoslav Mykhailiuk\mykhasv01,SF,1.6,4.8"
"Abdel Nader\naderab01,SF,0.8,1.8"
"Larry Nance Jr.\nancela02,PF,1.2,3.3"
"Aaron Nesmith\nesmiaa01,SF,0.8,2.5"
"Raul Neto\netora01,PG,0.9,2.6"
"Georges Niang\niangge01,PF,1.3,3.3"
"Zeke Nnaji\nnajize01,PF,0.6,1.5"
"Nerlens Noel\noelne01,C,0.0,0.1"
"Jaylen Nowell\nowelja01,SG,1.4,3.8"
"Frank Ntilikina\ntilila01,PG,1.0,2.2"
"Kendrick Nunn\nunnke01,PG,2.0,5.4"
"Jusuf Nurki_\nurkiju01,C,0.4,1.1"
"David Nwaba\nwabada01,SF,0.6,2.1"
"Jordan Nwora\nworajo01,SF,0.9,1.8"
"Royce O'Neale\onealro01,SF,1.7,4.1"
"Semi Ojeleye\ojelese01,PF,1.2,3.1"
"Jahlil Okafor\okafoja01,C,0.0,0.3"
"Chuma Okeke\okekech01,PF,1.1,2.7"
"Josh Okogie\okogijo01,SG,0.4,1.8"
"Onyeka Okongwu\okongon01,C,0.0,0.0"
"Isaac Okoro\okorois01,SG,0.8,2.8"
"KZ Okpala\okpalkz01,PF,0.4,1.5"
"Victor Oladipo\oladivi01,SG,2.6,7.7"
"Kelly Olynyk\olynyke01,C,1.8,5.7"
"Miye Oni\onimi01,SG,0.5,1.5"
"Cedi Osman\osmande01,SF,1.8,5.7"
"Daniel Oturu\oturuda01,C,0.0,0.1"
"Kelly Oubre Jr.\oubreke01,SF,1.6,5.2"
"Jabari Parker\parkeja01,PF,0.0,0.3"
"Eric Paschall\pascher01,PF,0.4,1.3"
"An_ejs Pase__iks\pasecan01,C,0.0,1.0"
"Patrick Patterson\pattepa01,PF,0.9,2.3"
"Justin Patton\pattoju01,C,0.7,2.6"
"Chris Paul\paulch01,PG,1.4,3.8"
"Cameron Payne\payneca01,PG,1.0,2.4"
"Elfrid Payton\paytoel01,PG,0.5,1.8"
"Norvel Pelle\pelleno01,C,0.0,0.0"
"Reggie Perry\perryre01,PF,0.3,1.1"
"Theo Pinson\pinsoth01,SG,0.0,0.5"
"Mason Plumlee\plumlma01,C,0.0,0.2"
"Jakob Poeltl\poeltja01,C,0.0,0.0"
"Vincent Poirier\poirivi01,C,0.0,0.1"
"Aleksej Pokusevski\pokusal01,PF,0.9,3.9"
"Jordan Poole\poolejo01,SG,1.7,4.5"
"Jontay Porter\portejo01,PF,0.5,1.0"
"Kevin Porter Jr.\porteke02,SG,1.5,6.0"
"Michael Porter Jr.\portemi01,SF,2.4,5.6"
"Otto Porter\porteot01,SF,1.5,3.8"
"Bobby Portis\portibo01,C,1.1,2.4"
"Kristaps Porzi__is\porzikr01,C,2.3,6.3"
"Dwight Powell\poweldw01,C,0.1,0.5"
"Norman Powell\powelno01,SG,2.8,6.3"
"Taurean Prince\princta02,PF,1.3,3.5"
"Payton Pritchard\pritcpa01,SG,1.3,3.3"
"Immanuel Quickley\quickim01,PG,2.0,5.2"
"Jahmi'us Ramsey\ramseja01,SG,0.2,0.6"
"Chasson Randle\randlch01,PG,1.1,2.9"
"Julius Randle\randlju01,PF,2.0,4.7"
"Cam Reddish\reddica01,SF,1.3,4.8"
"J.J. Redick\redicjj01,SG,1.6,4.5"
"Paul Reed\reedpa01,PF,0.0,0.6"
"Naz Reid\reidna01,C,0.8,2.4"
"Cameron Reynolds\reynoca01,G,0.0,0.0"
"Nick Richards\richani01,PF,0.0,0.0"
"Josh Richardson\richajo01,SG,1.6,5.0"
"Austin Rivers\riverau01,SG,1.3,3.7"
"Andre Roberson\roberan03,SG,0.2,1.6"
"Duncan Robinson\robindu01,SF,3.3,8.5"
"Glenn Robinson III\robingl02,SF,0.7,1.9"
"Jerome Robinson\robinje01,SG,0.6,2.3"
"Mitchell Robinson\robinmi01,C,0.0,0.0"
"Isaiah Roby\robyis01,PF,0.5,1.6"
"Rajon Rondo\rondora01,PG,0.6,1.7"
"Derrick Rose\rosede01,PG,0.9,2.5"
"Terrence Ross\rosste01,SG,2.3,6.3"
"Terry Rozier\roziete01,SG,3.3,8.0"
"Ricky Rubio\rubiori01,PG,0.8,2.7"
"D'Angelo Russell\russeda01,PG,3.0,7.4"
"Domantas Sabonis\sabondo01,PF,0.8,2.6"
"Luka _amani_\samanlu01,PF,0.5,1.6"
"JaKarr Sampson\sampsja02,PF,0.1,0.3"
"Dario _ari_\saricda01,C,1.0,3.1"
"Tomá_ Satoransk_\satorto01,SG,0.8,1.9"
"Dennis Schröder\schrode01,SG,1.0,3.1"
"Mike Scott\scottmi01,PF,1.0,3.0"
"Collin Sexton\sextoco01,SG,1.7,4.5"
"Landry Shamet\shamela01,SG,1.8,4.9"
"Iman Shumpert\shumpim01,SG,0.0,1.5"
"Pascal Siakam\siakapa01,PF,1.3,4.2"
"Chris Silva\silvach01,PF,0.1,0.1"
"Ben Simmons\simmobe01,PG,0.1,0.2"
"Anfernee Simons\simonan01,SG,2.0,4.8"
"Deividas Sirvydis\sirvyde01,SG,0.1,0.6"
"Alen Smailagi_\smailal01,PF,0.3,1.0"
"Marcus Smart\smartma01,PG,2.0,5.7"
"Dennis Smith Jr.\smithde03,PG,0.9,2.7"
"Ish Smith\smithis01,PG,0.3,1.1"
"Jalen Smith\smithja04,PF,0.1,0.6"
"Tony Snell\snellto01,SG,1.5,2.5"
"Ray Spalding\spaldra01,C,0.0,0.5"
"Cassius Stanley\stanlca01,SG,0.1,0.4"
"Lamar Stevens\stevela01,PF,0.1,0.6"
